x,y
550.0952,91.44711
550.5773,91.33373
551.0594,91.23709
551.5416,91.16016
552.0237,91.10092
552.5058,91.05272
552.9879,91.0093
553.47,90.96425
553.9521,90.91348
554.4343,90.85068
554.9164,90.7724
555.3985,90.67583
555.8806,90.56593
556.3627,90.45346
556.8448,90.35789
557.327,90.29709
557.8091,90.28437
558.2912,90.31995
558.7733,90.39159
559.2554,90.47848
559.7375,90.56031
560.2197,90.62473
560.7018,90.6722
561.1839,90.71106
561.666,90.7512
562.1481,90.79656
562.6302,90.84147
563.1124,90.87292
563.5945,90.87695
564.0766,90.84727
564.5587,90.78781
565.0408,90.71317
565.5229,90.63963
566.0051,90.58022
566.4872,90.53864
566.9693,90.50849
567.4514,90.47857
567.9335,90.43943
568.4156,90.38708
568.8978,90.32545
569.3799,90.26173
569.862,90.20248
570.3441,90.15047
570.8262,90.10649
571.3083,90.0696
571.7905,90.04115
572.2726,90.02438
572.7547,90.02147
573.2368,90.02965
573.7189,90.04106
574.201,90.04037
574.6832,90.01373
575.1653,89.95261
575.6474,89.8596
576.1295,89.74609
576.6116,89.62832
577.0938,89.51749
577.5759,89.41742
578.058,89.32211
578.5401,89.22388
579.0222,89.11864
579.5043,89.01219
579.9865,88.91624
580.4686,88.84434
580.9507,88.8021
581.4328,88.78236
581.9149,88.76644
582.397,88.73044
582.8792,88.65505
583.3613,88.5348
583.8434,88.37765
584.3255,88.20183
584.8076,88.0281
585.2897,87.87238
585.7719,87.73963
586.254,87.62694
586.7361,87.52686
587.2182,87.43391
587.7003,87.34711
588.1824,87.26991
588.6646,87.20683
589.1467,87.1614
589.6288,87.13303
590.1109,87.11912
590.593,87.11671
591.0751,87.12412
591.5573,87.14171
592.0394,87.16935
592.5215,87.20406
593.0036,87.23807
593.4857,87.26102
593.9678,87.26333
594.45,87.23977
594.9321,87.19271
595.4142,87.13105
595.8963,87.06735
596.3784,87.01244
596.8605,86.97137
597.3427,86.94282
597.8248,86.92081
598.3069,86.89896
598.789,86.8739
599.2711,86.84785
599.7532,86.82645
600.2354,86.81653
600.7175,86.82137
601.1996,86.83974
601.6817,86.86623
602.1638,86.89446
602.6459,86.9188
603.1281,86.93764
603.6102,86.95213
604.0923,86.96534
604.5744,86.97924
605.0565,86.99467
605.5386,87.00996
606.0208,87.02384
606.5029,87.03596
606.985,87.04836
607.4671,87.06448
607.9492,87.08904
608.4313,87.12486
608.9135,87.17374
609.3956,87.23557
609.8777,87.30952
610.3598,87.3938
610.8419,87.48576
611.324,87.58025
611.8062,87.66969
612.2883,87.74353
612.7704,87.79245
613.2525,87.80997
613.7346,87.79651
614.2167,87.75941
614.6989,87.71209
615.181,87.66832
615.6631,87.63792
616.1452,87.62435
616.6273,87.62358
617.1094,87.62669
617.5916,87.62459
618.0737,87.61173
618.5558,87.58774
619.0379,87.55692
619.52,87.52509
620.0021,87.49808
620.4843,87.4795
620.9664,87.47089
621.4485,87.47196
621.9306,87.48172
622.4127,87.49774
622.8948,87.51657
623.377,87.5335
623.8591,87.54323
624.3412,87.54079
624.8233,87.52418
625.3054,87.49374
625.7875,87.45334
